ticker,year,n_price_days,start_date,end_date,start_price,end_price,yearly_return
BSV,2018,251,2018-01-02,2018-12-31,65.7288,66.5308,0.012201652852326328
BSV,2019,252,2019-01-02,2019-12-31,66.5901,69.8468,0.04890666930970222
BSV,2020,253,2020-01-02,2020-12-31,69.8987,72.8968,0.042892070954109185
BSV,2021,252,2021-01-04,2021-12-31,72.9232,71.8876,-0.014201241854443936
BSV,2022,251,2022-01-03,2022-12-30,71.7453,67.9101,-0.0534557664404498
BSV,2023,250,2023-01-03,2023-12-29,68.0161,71.374,0.0493691934703695
BSV,2024,252,2024-01-02,2024-12-31,71.2349,74.1023,0.040252741282714055
BSV,2025,250,2025-01-02,2025-12-31,74.0927,78.81,0.06366754079686676
BTC,2025,250,2025-01-02,2025-12-31,42.93,38.73,-0.09783368273934323
BTCZ,2025,249,2025-01-02,2025-12-31,5.44,4.19,-0.22977941176470584
BTF,2022,251,2022-01-03,2022-12-30,1.6796,0.6204,-0.6306263396046679
